ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20260121,49.03,51.86,48.69,49.33,48.35,0.99,2.0408,622743,3072174.75
000001.SZ,20260122,50.8,51.15,46.1,49.35,49.33,0.02,0.0419,308939,1524725.8
000001.SZ,20260123,49.41,51.33,46.58,47.86,49.35,-1.5,-3.0348,639451,3060147.44
000001.SZ,20260124,48.9,50.02,45.4,47.72,47.86,-0.14,-0.2851,377758,1802639.68
000001.SZ,20260125,49.19,50.39,47.08,47.93,47.72,0.21,0.4502,610019,2924082.18
000001.SZ,20260126,48.54,48.55,46.27,46.8,47.93,-1.14,-2.3748,732351,3427103.9
000001.SZ,20260127,46.68,49.64,45.43,48.4,46.8,1.61,3.4378,820395,3971095.53
000001.SZ,20260128,50.35,51.18,47.38,47.49,48.4,-0.92,-1.8965,749133,3557383.05
000001.SZ,20260129,48.23,49.24,46.31,48.17,47.49,0.68,1.4373,313457,1509897.12
000001.SZ,20260130,49.61,51.12,47.6,48.43,48.17,0.26,0.5466,948257,4592643.17
000001.SZ,20260131,48.45,49.17,47.27,48.83,48.43,0.4,0.8241,875252,4273996.39
000001.SZ,20260201,48.75,51.4,47.94,49.19,48.83,0.36,0.7331,463977,2282284.22
000001.SZ,20260202,48.38,50.97,45.51,49.51,49.19,0.32,0.6465,987126,4887026.79
000001.SZ,20260203,47.27,50.13,47.05,49.37,49.51,-0.14,-0.2752,579555,2861343.49
000001.SZ,20260204,50.74,52.18,47.92,49.1,49.37,-0.27,-0.5486,566490,2781497.46
000001.SZ,20260205,49.47,51.24,46.39,49.8,49.1,0.7,1.4207,507467,2527091.76
000001.SZ,20260206,48.75,50.9,47.67,47.78,49.8,-2.02,-4.0588,548345,2619825.84
000001.SZ,20260207,47.33,49.04,45.51,48.16,47.78,0.38,0.8003,678132,3265837.07
000001.SZ,20260208,45.86,47.02,44.8,46.78,48.16,-1.38,-2.8582,619061,2896140.92
000001.SZ,20260209,43.61,47.24,42.69,46.74,46.78,-0.05,-0.0972,826129,3861105.37
000001.SZ,20260210,44.83,46.46,43.2,45.29,46.74,-1.45,-3.0968,468454,2121625.77
000001.SZ,20260211,44.74,44.91,39.35,43.18,45.29,-2.11,-4.6492,898350,3879462.16
000001.SZ,20260212,44.57,45.26,43.68,43.95,43.18,0.76,1.7654,824361,3622793.72
000001.SZ,20260213,44.6,48.12,43.27,43.39,43.95,-0.56,-1.2632,362857,1574492.47
000001.SZ,20260214,46.43,47.93,43.63,45.08,43.39,1.69,3.8869,840592,3789232.46
000001.SZ,20260215,44.67,46.72,42.38,46.27,45.08,1.19,2.6375,318259,1472490.99
000001.SZ,20260216,45.21,47.58,44.43,46.31,46.27,0.04,0.0859,354295,1640627.39
000001.SZ,20260217,41.53,45.32,40.88,45.17,46.31,-1.13,-2.4472,525465,2373715.02
000001.SZ,20260218,44.75,47.28,43.85,46.45,45.17,1.28,2.8296,517477,2403776.57
000001.SZ,20260219,48.88,50.3,43.1,46.84,46.45,0.39,0.8331,358948,1681271.72
