ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600519.SH,20260121,1804.59,1808.07,1803.99,1806.63,1770.5,36.13,2.0408,912152,164792460.68
600519.SH,20260122,1811.85,1813.27,1810.51,1813.08,1806.63,6.44,0.3567,800794,145190197.02
600519.SH,20260123,1832.9,1833.33,1829.69,1831.06,1813.08,17.98,0.9915,716922,131272374.05
600519.SH,20260124,1832.74,1832.93,1830.65,1831.35,1831.06,0.29,0.0161,749018,137171364.37
600519.SH,20260125,1853.35,1854.81,1851.14,1852.46,1831.35,21.11,1.1528,916508,169779630.67
600519.SH,20260126,1850.37,1852.5,1848.56,1849.0,1852.46,-3.46,-0.1867,831911,153820647.57
600519.SH,20260127,1842.02,1842.24,1839.99,1842.12,1849.0,-6.89,-0.3725,734971,135390243.09
600519.SH,20260128,1850.62,1854.18,1848.74,1851.46,1842.12,9.35,0.5074,813994,150708014.48
600519.SH,20260129,1861.24,1861.58,1857.28,1860.04,1851.46,8.58,0.4634,456802,84967117.79
600519.SH,20260130,1863.12,1864.2,1862.81,1862.89,1860.04,2.85,0.1531,339052,63161662.38
600519.SH,20260131,1860.71,1862.33,1860.64,1860.91,1862.89,-1.98,-0.1061,637937,118714538.81
600519.SH,20260201,1867.55,1869.43,1865.17,1868.71,1860.91,7.8,0.4192,840722,157106966.68
600519.SH,20260202,1866.03,1867.29,1865.27,1865.35,1868.71,-3.37,-0.1801,780041,145504867.38
600519.SH,20260203,1864.78,1864.88,1863.68,1864.32,1865.35,-1.03,-0.0553,623642,116266639.16
600519.SH,20260204,1856.23,1858.77,1855.46,1856.36,1864.32,-7.95,-0.4265,591409,109787088.49
600519.SH,20260205,1857.78,1861.0,1857.04,1860.42,1856.36,4.05,0.2182,911295,169538694.17
600519.SH,20260206,1849.65,1852.79,1847.45,1850.56,1860.42,-9.86,-0.5299,465369,86119187.36
600519.SH,20260207,1846.84,1847.33,1846.51,1846.84,1850.56,-3.72,-0.2009,613637,113328916.57
600519.SH,20260208,1862.45,1867.94,1862.08,1864.64,1846.84,17.8,0.964,370552,69094710.15
600519.SH,20260209,1861.72,1863.77,1860.52,1863.45,1864.64,-1.19,-0.0637,854782,159284746.88
600519.SH,20260210,1865.67,1866.74,1862.46,1864.35,1863.45,0.9,0.0483,399184,74422060.93
600519.SH,20260211,1868.17,1868.7,1867.69,1867.85,1864.35,3.49,0.1874,876303,163680174.51
600519.SH,20260212,1855.9,1858.46,1855.24,1856.76,1867.85,-11.09,-0.5937,534344,99214881.96
600519.SH,20260213,1866.45,1866.5,1859.12,1862.07,1856.76,5.31,0.286,472430,87969819.57
600519.SH,20260214,1843.4,1844.86,1841.79,1843.58,1862.07,-18.49,-0.9932,370203,68249761.89
600519.SH,20260215,1856.98,1857.48,1851.11,1853.79,1843.58,10.22,0.5542,988478,183243390.2
600519.SH,20260216,1864.33,1864.68,1862.64,1864.64,1853.79,10.85,0.5852,516066,96227819.79
600519.SH,20260217,1858.35,1859.46,1856.19,1857.87,1864.64,-6.77,-0.363,862854,160307302.54
600519.SH,20260218,1847.5,1851.34,1847.41,1851.02,1857.87,-6.85,-0.3686,815957,151035652.92
600519.SH,20260219,1845.7,1847.07,1843.63,1844.74,1851.02,-6.29,-0.3396,415503,76649451.38
